data,produto,quantidade,valor_unitario
2026-08-01,Notebook,2,3500
2026-08-01,Mouse,5,80
2026-08-02,Teclado,3,150
2026-08-02,Monitor,1,1200
2026-08-03,Notebook,1,3500
2026-08-03,Mouse,8,80
2026-08-04,Headset,4,250
2026-08-04,Teclado,2,150
2026-08-05,Monitor,3,1200
2026-08-05,Mouse,6,80
2026-08-06,Notebook,2,3500
2026-08-06,Headset,3,250
2026-08-07,Teclado,5,150
2026-08-07,Monitor,1,1200
2026-08-08,Mouse,10,80
2026-08-08,Notebook,1,3500
2026-08-09,Headset,4,250
2026-08-09,Teclado,3,150
2026-08-10,Monitor,2,1200
2026-08-10,Mouse,7,80
2026-08-11,Notebook,2,3500
2026-08-11,Headset,5,250
2026-08-12,Teclado,4,150
2026-08-12,Mouse,8,80
2026-08-13,Monitor,1,1200
2026-08-13,Notebook,2,3500
2026-08-14,Headset,3,250
2026-08-14,Teclado,6,150
2026-08-15,Mouse,9,80
2026-08-15,Monitor,2,1200
2026-08-16,Notebook,1,3500
2026-08-16,Headset,4,250
2026-08-17,Teclado,3,150
2026-08-17,Mouse,7,80
2026-08-18,Monitor,2,1200
2026-08-18,Notebook,1,3500
2026-08-19,Headset,5,250
2026-08-19,Teclado,4,150
2026-08-20,Mouse,6,80
2026-08-20,Monitor,2,1200
2026-08-21,Notebook,1,3500
2026-08-21,Headset,3,250
2026-08-22,Teclado,5,150
2026-08-22,Mouse,8,80
2026-08-23,Monitor,2,1200
2026-08-23,Notebook,1,3500
2026-08-24,Headset,4,250
2026-08-24,Teclado,3,150
2026-08-25,Mouse,7,80
2026-08-25,Monitor,2,1200
